rank,company,domain,industry,revenue_usd,employees,city,state,careers_url,ats,ats_url,tier_recommendation,confidence
178,Stryker,stryker.com,Healthcare & Pharma,24400000000,53000,Portage,Michigan,https://www.stryker.com/us/en/about.html,custom,,tier2_llm_http,medium
179,International Paper,internationalpaper.com,Other,24300000000,37000,Memphis,Tennessee,https://iazbqy.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1,oracle_recruiting,https://iazbqy.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1,tier1_ats,high
180,Exelon,exeloncorp.com,Energy & Utilities,24300000000,20014,Chicago,Illinois,https://www.exeloncorp.com/grid/join-us-at-exelon-where-people-with-purpose-power-their-careers-and-the-future-of-energy,icims,https://careers-exeloncorp.icims.com/jobs/login?loginOnly=1,tier1_ats,high
181,Danaher,danaher.com,Healthcare & Pharma,24300000000,62000,Washington,District Of Columbia,https://jobs.danaher.com/global/en,phenom,,tier1_ats,medium
182,Genuine Parts,genpt.com,Other,24100000000,63000,Atlanta,Georgia,https://jobs.genpt.com/,talentbrew,https://tbcdn.talentbrew.com/company/505/gst-v2_0_main/slick/slick.min.css,tier1_ats,high
183,Block,block.xyz,Banking & Financial Services,24000000000,11372,Oakland,California,https://block.xyz/careers/jobs?,greenhouse,https://boards.greenhouse.io/embed/job_board/js?for=block,tier1_ats,medium
184,Adobe,adobe.com,Technology,23800000000,30709,San Jose,California,https://www.adobe.com/careers.html,workday,https://adobe.wd5.myworkdayjobs.com/en-US/external_experienced/login,tier1_ats,high
185,Sherwin-Williams,sherwin-williams.com,Manufacturing & Industrial,23300000000,63890,Cleveland,Ohio,https://careers.sherwin-williams.com/us/en/home.html,oracle_recruiting,https://ejhp.fa.us6.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2/my-profile/sign-in,tier1_ats,high
186,Lear,lear.com,Manufacturing & Industrial,23000000000,173700,Southfield,Michigan,https://www.lear.com/careers,custom,,tier2_llm_http,medium
187,WESCO International,wesco.com,Other,22900000000,20000,Pittsburgh,Pennsylvania,https://www.wesco.com/us/en/our-company/careers.html,paradox,https://olivia.paradox.ai,tier3_llm_browser,low
188,Charles Schwab,aboutschwab.com,Banking & Financial Services,22900000000,32100,Westlake,Texas,https://www.schwabjobs.com/,talentbrew,https://tbcdn.talentbrew.com/company/27326/gst_v1_0/js/animations.css,tier1_ats,high
189,BlackRock,blackrock.com,Banking & Financial Services,22900000000,21100,New York,New York,https://www.blackrock.com/jp/individual/ja/about-us/careers,custom,,tier2_llm_http,medium
190,Macy's,macysinc.com,Retail & Consumer Goods,22700000000,94189,New York,New York,https://www.macysinc.com:443/work-with-us/careers/default.aspx,oracle_recruiting,https://ebwh.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/,tier1_ats,high
191,EOG Resources,eogresources.com,Energy & Utilities,22700000000,3150,Houston,Texas,https://www.eogresources.com/jobs,custom,,tier2_llm_http,medium
192,1 Automotive,group1auto.com,Retail & Consumer Goods,22500000000,20413,Houston,Texas,,icims,,tier1_ats,high
193,Avnet,avnet.com,Technology,22500000000,15462,Phoenix,Arizona,,custom,,tier2_llm_http,low
194,Reinsurance of America,rgare.com,Insurance,22300000000,4100,Chesterfield,Missouri,https://www.rgarecareers.com/us/en,phenom,,tier1_ats,low
195,KKR,kkr.com,Banking & Financial Services,22300000000,4834,New York,New York,https://www.kkr.com/careers,custom,,tier2_llm_http,medium
196,Halliburton,halliburton.com,Energy & Utilities,22100000000,48000,Houston,Texas,https://careers.halliburton.com,talentbrew,https://tbcdn.talentbrew.com/company/27552/v2_0/css/jquery-fancybox-min.css,tier1_ats,high
197,CDW,cdw.com,Technology,22100000000,15100,Vernon Hills,Illinois,,custom,,tier2_llm_http,low
198,Carrier Global,carrier.com,Manufacturing & Industrial,22100000000,48000,Palm Beach Gardens,Florida,https://www.carrier.com/carrier/en/worldwide/error-404.html,workday,https://carrier.wd5.myworkdayjobs.com/jobs/login,tier1_ats,high
199,Ross Stores,rossstores.com,Retail & Consumer Goods,22000000000,107000,Dublin,California,https://jobs.rossstores.com/,activate,https://jobs.rossstores.com/,tier3_llm_browser,high
200,Becton Dickinson,bd.com,Healthcare & Pharma,21800000000,74000,Franklin Lakes,New Jersey,https://jobs.bd.com/en,talentbrew,https://tbcdn.talentbrew.com/company/159/gst-v3/vendors/fancybox/fancybox.min.css,tier1_ats,high
201,PNC,pnc.com,Banking & Financial Services,21800000000,54435,Pittsburgh,Pennsylvania,https://careers.pnc.com/global/en,beamery,https://flows.beamery.com/pnc/tc-signup,tier3_llm_browser,medium
202,L3Harris Technologies,l3harris.com,Manufacturing & Industrial,21700000000,47000,Melbourne,Florida,https://careers.l3harris.com/en?rid=5411,talentbrew,https://tbcdn.talentbrew.com/company/4832/css/61181-GST.css,tier1_ats,high
203,Newmont,newmont.com,Energy & Utilities,21500000000,22200,Denver,Colorado,https://newmont.com/careers/home/,phenom,https://jobs.newmont.com/us/en,tier1_ats,medium
204,American Family Insurance,amfam.com,Insurance,21300000000,11073,Madison,Wisconsin,https://flows.beamery.com/afienterprise/talentcommunity,beamery,https://flows.beamery.com/afienterprise/talentcommunity,tier3_llm_browser,high
205,American Electric Power,aep.com,Energy & Utilities,21300000000,16330,Columbus,Ohio,https://www.aep.com/careers/,workday,https://aep.wd1.myworkdayjobs.com/en-US/AEPCareerSite/jobAlerts,tier1_ats,high
206,BJ's Wholesale Club,bjs.com,Retail & Consumer Goods,21200000000,33000,Marlborough,Massachusetts,https://careers.bjs.com,workday,https://bjswholesaleclub.wd1.myworkdayjobs.com/BJsCareers,tier1_ats,high
207,Fiserv,fiserv.com,Banking & Financial Services,21200000000,38000,Milwaukee,Wisconsin,https://careers.fiserv.com/us/en,phenom,,tier1_ats,medium
208,Super Micro Computer,supermicro.com,Technology,21100000000,5684,San Jose,California,https://www.supermicro.com/en/jobs,custom,,tier2_llm_http,medium
209,Amphenol,amphenol.com,Other,21000000000,125000,Wallingford,Connecticut,https://amphenol.com/careers,custom,,tier2_llm_http,medium
210,Automatic Data Processing,adp.com,Other,20900000000,64000,Roseland,New Jersey,https://www.adp.ca/fr-ca/ressources/articles-et-perspectives/articles/c/emploi-des-deux-cotes-de-la-frontiere.aspx,adp,https://www.adp.com/who-we-serve.aspx,tier1_ats,medium
211,Cognizant Technology,cognizant.com,Technology,20900000000,336800,Teaneck,New Jersey,https://www.cognizant.com/us/en,custom,,tier2_llm_http,medium
212,Tenet Healthcare,tenethealth.com,Healthcare & Pharma,20900000000,86240,Dallas,Texas,https://eodr.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/my-profile/sign-in,oracle_recruiting,https://eodr.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/my-profile/sign-in,tier1_ats,high
213,GE HealthCare Technologies,gehealthcare.com,Healthcare & Pharma,20300000000,53000,Chicago,Illinois,https://www.gehealthcare.com/en-sg/gatekeeper?ReturnURL=%2fen-sg%2fproducts%2fcareers&id=C703ECA611454F9DBAD23AB16F749A25,custom,,tier2_llm_http,medium
214,Altria,altria.com,Retail & Consumer Goods,20200000000,6200,Richmond,Virginia,https://www.altria.com/contact-us/careers,phenom,,tier1_ats,low
215,Colgate-Palmolive,colgatepalmolive.com,Retail & Consumer Goods,20100000000,34000,New York,New York,https://jobs.colgate.com/,successfactors,https://performancemanager4.successfactors.com/verp/vmod_v1/ui/extlib/jquery_3.5.1/jquery.js,tier3_llm_browser,medium
216,Parker-Hannifin,parker.com,Manufacturing & Industrial,20000000000,61120,Cleveland,Ohio,https://www.parker.com/us/en/careers.html,custom,,tier2_llm_http,medium
217,Bank of New York,bny.com,Banking & Financial Services,19700000000,51800,New York,New York,https://www.bny.com/corporate/global/en/about-us/careers/work-with-us.html,oracle_recruiting,https://eofe.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/BNY-Careers,tier1_ats,high
218,Kimberly-Clark,kimberly-clark.com,Retail & Consumer Goods,19700000000,38000,Irving,Texas,https://www.kimberly-clark.com/careers,custom,,tier2_llm_http,medium
219,Lam Research,lamresearch.com,Technology,19600000000,17450,Fremont,California,https://www.lamresearch.com/careers/careers-overview/?utm_source=vanity&utm_campaign=lam_careers_vanity&utm_medium=vanity&utm_content=careers_vanity,eightfold,https://lamresearch.eightfold.ai/careers?domain=lamresearch.com&amp;start=0&amp;pid=sort_by=timestamp&amp;filter_job_function=Field+Service+Engineering,tier1_ats,high
220,Intuit,intuit.com,Technology,19400000000,24200,Mountain View,California,https://www.intuit.com/careers/,custom_js_only,,tier3_llm_browser,low
221,Boston Scientific,bostonscientific.com,Healthcare & Pharma,19400000000,53000,Marlborough,Massachusetts,https://www.bostonscientific.com/DE-Deutsch/ueber-uns/karriere.html,eightfold,https://bostonscientific.eightfold.ai/careers?start=0&location=Germany&pid=563602809358739&sort_by=distance&filter_include_remote=1,tier1_ats,high
222,AutoZone,autozone.com,Retail & Consumer Goods,19300000000,100800,Memphis,Tennessee,https://careers.autozone.com/hcmUI/CandidateExperience/en/sites/CX_1,oracle_recruiting,https://egud.fa.us2.oraclecloud.com:443/hcmUI/CandidateExperience/images?imageId=BD4D2BEE-8AF0-47D1-86C6-E6F0B7FB4BB3,tier1_ats,low
223,General Mills,generalmills.com,Retail & Consumer Goods,19200000000,34000,Minneapolis,Minnesota,https://careers.generalmills.com/careers/?lang=en-US,workday,https://www.myworkday.com/genmills/d/home.htmld,tier1_ats,medium
224,Dollar Tree,dollartree.com,Retail & Consumer Goods,19000000000,139572,Chesapeake,Virginia,https://careers.dollartree.com/us/en,phenom,,tier1_ats,medium
225,Cheniere Energy,cheniere.com,Other,18900000000,1714,Houston,Texas,https://www.cheniere.com/careers,oracle_recruiting,https://hcgi.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2,tier1_ats,medium
226,Cleveland-Cliffs,clevelandcliffs.com,Manufacturing & Industrial,18600000000,30000,Cleveland,Ohio,https://careers.clevelandcliffs.com/,bamboohr,,tier1_ats,low
227,Ameriprise Financial,ameriprise.com,Banking & Financial Services,18500000000,13600,Minneapolis,Minnesota,https://www.ameriprise.com/careers,custom,,tier2_llm_http,medium
228,Aramark,aramark.com,Other,18500000000,266680,Philadelphia,Pennsylvania,https://careers.aramark.com/,paradox,https://aramark.paradox.ai/co/Aramark1313/UpcomingEvent,tier3_llm_browser,high
229,Lincoln National,lincolnfinancial.com,Insurance,18400000000,9783,Radnor,Pennsylvania,https://www.lincolnfinancial.com/public/aboutus/careers,successfactors,,tier3_llm_browser,high
230,Corebridge Financial,corebridgefinancial.com,Banking & Financial Services,18300000000,5200,Houston,Texas,https://www.corebridgefinancial.com/careers,workday,https://corebridgefinancial.wd1.myworkdayjobs.com/CorebridgeFinancial,tier1_ats,high
231,Goodyear Tire & Rubber,goodyear.com,Manufacturing & Industrial,18300000000,68000,Akron,Ohio,https://corporate.goodyear.com/us/en/company/working-at-goodyear.html,workday,https://goodyear.wd1.myworkdayjobs.com/GoodyearCareers,tier1_ats,high
232,Truist Financial,truist.com,Banking & Financial Services,18300000000,37552,Charlotte,North Carolina,https://careers.truist.com/us/en,phenom,,tier1_ats,medium
233,Loews,loews.com,Insurance,18300000000,13000,New York,New York,https://loews.com/careers/,workday,https://loewscorp.wd1.myworkdayjobs.com/loewscorp,tier1_ats,high
